web-scraper-order,web-scraper-start-url,issue,issue-href,article,article-href,title,author,abstract,keywords,publisher,issue_date
"1551278697-1293","https://www.emeraldinsight.com/loi/jsbed","Issue 4","https://www.emeraldinsight.com/toc/jsbed/12/4","Building entrepreneurial knowledge reservoirs","https://www.emeraldinsight.com/doi/full/10.1108/14626000510628252","Building entrepreneurial knowledge reservoirs","Lars Øystein Widding  (Department of Industrial Economics and Technology Management, Bodø Graduate School of Business, Norwegian University of Science and Technology, Trondheim, Norway)","null","Entrepreneurialism, Knowledge management","Emerald Group Publishing Limited","Published: 2005, Start page: 464"
"1551279440-1521","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/17/1","Editorial","https://www.emeraldinsight.com/doi/full/10.1108/jsbed.2010.27117aaa.001","Editorial","Harry Matlay,","null","Emerald Group Publishing Limited","null","Published: 2010, Start page: 8"
"1551302430-1890","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/24/3","Do informal institutions affect entrepreneurial intentions?","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-12-2016-0192","Do informal institutions affect entrepreneurial intentions?","Nataliia Ostapenko,  (Tartu Ulikool, Tartu, Estonia)","This paper explains the ways in which informal institutions influence European entrepreneurial intentions revealing that these institutions are connected with a person's satisfaction with government and can indirectly affect the probability to be self-employed.","PurposeThe purpose of this paper is to empirically define the ways in which informal institutions influence entrepreneurial intentions. It tests the statement that informal institutions can have an impact on people’s decisions, directly and indirectly, by affecting their perceptions of the external world.Design/methodology/approachThe paper develops a theoretical model of the probability of starting a business by a potential entrepreneur. The model takes into account a comparison of current wages and future profits. The empirical analysis is based on European social survey data at the individual level. Three-stage least squares regression helps to overcome the endogeneity problem since perceptions of government actions are individual specific.FindingsInformal institutions can affect expectations about future activities in a person’s lifetime utility maximisation problem. The paper empirically concludes that these institutions are connected with a person’s satisfaction with government and can indirectly affect the probability to be self-employed.Research limitations/implicationsResearch limitations are related to employing proxies for informal institutions, using only the “satisfaction with government” as a perceptions indicator, and cross-sectional data while defining the causal effect.Practical implicationsPolicymakers should consider that institutional settings affect people in a different manner when developing their policies.Originality/valueThe paper makes a novel contribution by analysing the effect of informal institutions on the probability to start a business by using both theoretical arguments and empirical tests. Building upon insights from a broader informal institutions’ effect on entrepreneurial intentions, this paper is the first to study a linkage between informal institutions and their indirect effect on people’s profit expectations.","Research paper","Published: 2017, Start page: 426"
"1551290834-1711","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/21/1","Electronic commerce adoption, entrepreneurial orientation and small- and medium-sized enterprise (SME) performance","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-10-2013-0145","Electronic commerce adoption, entrepreneurial orientation and small- and medium-sized enterprise (SME) performance","Michael Abebe   (The University of Texas-Pan American, Edinburg, Texas, USA)","null","Competitive advantage, SMEs, United States of America, Electronic commerce, Entrepreneurial orientation","Michael Abebe,  (2014)  ""Electronic commerce adoption, entrepreneurial orientation and small- and medium-sized enterprise (SME) performance"", Journal of Small Business and Enterprise Development, Vol. 21 Issue: 1, pp.100-116, https://doi.org/10.1108/JSBED-10-2013-0145","Published: 2014, Start page: 4"
"1551278007-1072","https://www.emeraldinsight.com/loi/jsbed","Issue 4","https://www.emeraldinsight.com/toc/jsbed/6/4","Planning, business objectives and capital budgeting in Japanese, German and domestic SMEs: some evidence from the UK manufacturing sector","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006690","Planning, business objectives and capital budgeting in Japanese, German and domestic SMEs: some evidence from the UK manufacturing sector","Michael Peel  (Cardiff Business School, University of Cardiff, Colum Drive, Cardiff)","The study of franchising as a small business growth strategy is only weakly researched and understood. This preliminary, qualitative investigation examines the experiences of 17 operational and five “failed” franchises in the UK, in translating their business concepts into a franchise format. It reveals that small firms select franchising as a growth strategy for both economic and idiosyncratic reasons, but that economic reasons tend to prevail. The findings suggest that franchising is a viable growth strategy for small firms and that per se it creates few major problems for growth‐oriented small businesses. It is argued that further research is needed, particularly into the experiences of “failed” franchises and into the problems encountered by growing small firms who do not adopt franchising as a growth strategy.","Small‐ to medium‐sized enterprises, Objectives, Operations planning, Strategic planning, Capital budgeting, Short‐termism, Ownership","MCB UP Ltd","Published: 1999, Start page: 310"
"1551278663-1282","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/12/3","The impact of organizational change on entrepreneurship in community settings","https://www.emeraldinsight.com/doi/full/10.1108/14626000510612321","The impact of organizational change on entrepreneurship in community settings","Sibylle Heilbrunn  (Centre for Management Studies, Academic Centre Ruppin, Emek Hefer, Israel)","null","Organizational change, Community relations, Entrepreneurialism, Israel","Emerald Group Publishing Limited","Published: 2005, Start page: 307"
"1551295040-1775","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/22/3","SMEs, environmental management and global warming: a fusion of influencing factors?","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-10-2013-0157","SMEs, environmental management and global warming: a fusion of influencing factors?","Jean Raar   (Swinburne University, Hawthorn, Victoria, Australia)","The initial funding for some aspects of this project was provided by Deakin University Faculty of Business and Law, which is gratefully acknowledged. An earlier draft including aspects of this paper has benefited from participation in the 6th AGSE Conference, Adelaide; February 2009. The author is also grateful for the input from anonymous reviewers.","Environmental management, Global warming, SMEs, Stakeholder theory, Internal information systems","The initial funding for some aspects of this project was provided by Deakin University Faculty of Business and Law, which is gratefully acknowledged. An earlier draft including aspects of this paper has benefited from participation in the 6th AGSE Conference, Adelaide; February 2009. The author is also grateful for the input from anonymous reviewers.","Published: 2015, Start page: 380"
"1551279304-1486","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/16/2","Entrepreneurship education in the UK: A critical analysis of stakeholder involvement and expectations","https://www.emeraldinsight.com/doi/full/10.1108/14626000910956100","Entrepreneurship education in the UK: A critical analysis of stakeholder involvement and expectations","Harry Matlay  (Department of Management and Entrepreneurship, Birmingham City Business School, Birmingham City University, Birmingham, UK)","null","Entrepreneurialism, Education, Stakeholder analysis, Students, Higher education, United Kingdom","Emerald Group Publishing Limited","Published: 2009, Start page: 196"
"1551292397-1735","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/21/3","Determinants of best HR practices in Chinese SMEs","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-05-2014-0082","Determinants of best HR practices in Chinese SMEs","Newman Alexander   (Department of Management, Monash University, Caulfield East, Australia)","null","China, Antecedents, Small and medium-sized enterprises, Human resource management","Newman Alexander, Z. Sheikh Abdullah,  (2014)  ""Determinants of best HR practices in Chinese SMEs"", Journal of Small Business and Enterprise Development, Vol. 21 Issue: 3, pp.414-430, https://doi.org/10.1108/JSBED-05-2014-0082","Published: 2014, Start page: 368"
"1551299667-1847","https://www.emeraldinsight.com/loi/jsbed","Issue 4","https://www.emeraldinsight.com/toc/jsbed/23/4","An investigation of social entrepreneurial intentions formation among South-East European postgraduate students","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-03-2016-0047","An investigation of social entrepreneurial intentions formation among South-East European postgraduate students","Kostas Politis,  (The University of Sheffield International Faculty, CITY College, Thessaloniki, Greece)","null","Postgraduates, Tensions, Entrepreneurial intentions, Social entrepreneurial intentions, South-East European region","Emerald Group Publishing Limited","Published: 2016, Start page: 918"
"1551286989-1652","https://www.emeraldinsight.com/loi/jsbed","Issue 4","https://www.emeraldinsight.com/toc/jsbed/19/4","Institutional constraints and SME growth in post‐communist Albania","https://www.emeraldinsight.com/doi/full/10.1108/14626001211277424","Institutional constraints and SME growth in post‐communist Albania","Mirela Xheneti  (Small Business Research Centre, Kingston University Business School, Kingston upon Thames, UK)","null","Entrepreneurship, Small business growth, Transition, Institutions, Albania, Corruption, Business development, Small enterprises","Emerald Group Publishing Limited","Published: 2012, Start page: 575"
"1551297023-1806","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/23/1","Exploring the venture capitalist – entrepreneur relationship: evidence from India","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-05-2013-0071","Exploring the venture capitalist – entrepreneur relationship: evidence from India","Swati Panda   (Economics and Strategy Department, Institute of Management Technology, Hyderabad, India)","null","Entrepreneurship, Agency theory, Developing countries, Trust, Venture capital, Confidence in partner cooperation","Swati Panda, Shridhar Dash,  (2016)  ""Exploring the venture capitalist – entrepreneur relationship: evidence from India"", Journal of Small Business and Enterprise Development, Vol. 23 Issue: 1, pp.64-89, https://doi.org/10.1108/JSBED-05-2013-0071","Published: 2016, Start page: 3"
"1551278191-1122","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/8/3","Differing views and use of integrated marketing communications – findings from a survey of New Zealand small businesses","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006821","Differing views and use of integrated marketing communications – findings from a survey of New Zealand small businesses","Kim Shyan Fam  (Department of Marketing, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong)","The purpose of this study is to examine how small businesses (ie owner‐managers) view integrated marketing communications (IMC), its associated advantages and barriers to adopting this new marketing paradigm. This is undertaken by exploring clothing and shoe retailers’ perceptions of several specific combinations of promotion tools. The study will concentrate on respondents’ awareness of the IMC concept, regardless of whether they utilise the concept or not. Pleasingly, these small New Zealand businesses are equally as aware as large corporations of the benefits of adopting an IMC approach. This is despite a plethora of claims that small businesses do not have the manpower and specialist skill to integrate their marketing communications. The paper concludes by discussing the various advantages of and barriers to adopting an IMC approach and the implications for small businesses.","Marketing communications, Small firms, Integration, Clothing industry","MCB UP Ltd","Published: 2001, Start page: 205"
"1551278961-1385","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/14/3","The determinants of online loan applications from small businesses","https://www.emeraldinsight.com/doi/full/10.1108/14626000710773556","The determinants of online loan applications from small businesses","Liang Han  (Business School, University of Hull, Hull, UK)","null","Virtual banking, Loans, Small enterprises, United States of America, Behaviour","Emerald Group Publishing Limited","Published: 2007, Start page: 360"
"1551276401-978","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/2/1","HOW HRC QUIETLY PROFESSIONALIZED","https://www.emeraldinsight.com/doi/pdfplus/10.1108/eb020947","HOW HRC QUIETLY PROFESSIONALIZED","Paula O'Brien  (School of Management, University of Humberside, Hull, UK)","Harboro Rubber Company is a small manufacturing business which has managed a successful strategic change in a short space of time. The plan involved moving the company from an uncompetitive, loss‐making position to one where the company is enjoying growth and profitability. The distinguishing feature of the changes is the extent to which strategic decisions have been influenced by lower level employees who previously had no say in how the business was managed. Critical success factors which made the transition so successful are identified, the most important being the avoidance of programmatic change.","General review","Paula O'Brien, Paul Walley,  (1995)  ""HOW HRC QUIETLY PROFESSIONALIZED"", Journal of Small Business and Enterprise Development, Vol. 2 Issue: 1, pp.31-39, https://doi.org/10.1108/eb020947","Published: 1995, Start page: 3"
"1551288190-1670","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/20/2","Third age self‐employment: a business assistance perspective","https://www.emeraldinsight.com/doi/full/10.1108/14626001311326798","Third age self‐employment: a business assistance perspective","Kate V. Lewis  (New Zealand Centre for SME Research, School of Management, Massey University, Wellington, New Zealand)","null","Older entrepreneurs, Third age entrepreneurship, Entrepreneurialism, Small to medium‐sized enterprises, Self‐employment, Business assistance, Enterprise policy, Business support services, Elderly people","Emerald Group Publishing Limited","Published: 2013, Start page: 249"
"1551276365-967","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/1/2","THE ENVIRONMENTAL RESPONSIBILITY OF SMALL FIRMS: INVESTIGATING CURRENT AWARENESS AND PRACTICE","https://www.emeraldinsight.com/doi/pdfplus/10.1108/eb020937","THE ENVIRONMENTAL RESPONSIBILITY OF SMALL FIRMS: INVESTIGATING CURRENT AWARENESS AND PRACTICE","Dean Patton  (Department of Corporate Strategy, Leicester Business School)","This paper addresses the issue of environmental auditing by smaller business units and compares the actions of the small firm sector with those of larger organisations. It will focus on four key themes: the necessity to bring small firms to environmental account; the relationship between organisational size and the use of environmental audits; the reasons why smaller business units are less likely to undertake an environmental audit; policies that could improve the environmental practices of smaller firms.","General review","Dean Patton, Dominic Elliott, Colin Lenaghan,  (1994)  ""THE ENVIRONMENTAL RESPONSIBILITY OF SMALL FIRMS: INVESTIGATING CURRENT AWARENESS AND PRACTICE"", Journal of Small Business and Enterprise Development, Vol. 1 Issue: 2, pp.22-28, https://doi.org/10.1108/eb020937","Published: 1994, Start page: 2"
"1551278381-1185","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/10/3","A conceptualisation of the opportunities and barriers to e‐business development in the smaller firm","https://www.emeraldinsight.com/doi/full/10.1108/14626000310489808","A conceptualisation of the opportunities and barriers to e‐business development in the smaller firm","Ian Fillis  (Lecturer, Department of Marketing, Faculty of Management, University of Stirling, Stirling, UK.)","Drawing on existing research on e‐business and the smaller firm, this paper presents a review of the literature and the formulation of a conceptual framework of adopting an e‐business approach. Macro‐factors, industry sector, firm and managerial motivations and attitudes are examined, and then positioned in a conceptual framework of e‐business development in domestic and international markets. A series of research propositions are developed which go beyond the formalised, prescriptive frameworks of e‐business as presented in marketing and e‐commerce textbooks. These include the belief that those firms with a high degree of entrepreneurial orientation will be more likely to develop interests in e‐business than their conservative counterparts. Other factors include firm size, age of the manager, particular industry sector and product type. Conceptualises the tangible and intangible factors which impact upon the process of e‐business development, to present a workable framework for future qualitative and quantitative data collection.","Electronic commerce, Small enterprises, Marketing, Entrepreneurialism, Competences, Business development","MCB UP Ltd","Published: 2003, Start page: 233"
"1551278042-1082","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/7/1","Entrepreneurial action, innovation and business performance: the small independent business","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006801","Entrepreneurial action, innovation and business performance: the small independent business","Yannis Georgellis  (Lecturer of Economics at Brunel University)","Using a sample of some 300 small independent businesses, drawn from Central London, the paper examines how entrepreneurial behaviour affects business performance. It is argued that small businesses motivated by a desire to grow in terms of sales and/or employees and to survive in a dynamic and competitive environment need to be innovative. However, to what extent they will innovate successfully depends on their capacity to plan ahead, their capacity to innovate and their willingness to take risk. It is shown that entrepreneurial businesses are characterised by these competencies that allow them to innovate and thus develop and grow successfully. Not surprisingly, not all small businesses are equipped with these three competencies owing to their diverse array of strengths and weaknesses arising from the diversity in the managerial motives and aspirations of entrepreneurship. These results highlight the importance of the capacity to innovate and the capacity to plan ahead as strong predictors of small businesses’ performance.","Entrepreneurialism, Innovation, Planning, Small firms","MCB UP Ltd","Published: 2000, Start page: 7"
"1551293538-1752","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/22/1","Contextual and cultural determinants of entrepreneurship in pre- and post-revolutionary Tunisia: Analysing the discourse of young potential and actual entrepreneurs","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-10-2011-0011","Contextual and cultural determinants of entrepreneurship in pre- and post-revolutionary Tunisia: Analysing the discourse of young potential and actual entrepreneurs","Mourad Touzani   (Neoma Business School, Rouen, France)","null","Culture, Context, Tunisia, Entrepreneurship, Motivations, Emergent countries, Inhibitors","Mourad Touzani, Fahd Jlassi, Adnan Maalaoui, Rabi Bel Haj Hassine,  (2015)  ""Contextual and cultural determinants of entrepreneurship in pre- and post-revolutionary Tunisia: Analysing the discourse of young potential and actual entrepreneurs"", Journal of Small Business and Enterprise Development, Vol. 22 Issue: 1, pp.160-179, https://doi.org/10.1108/JSBED-10-2011-0011","Published: 2015, Start page: 4"
"1551278037-1080","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/7/1","Public policy and SME performance: the case of Northern Ireland in the 1990s","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006803","Public policy and SME performance: the case of Northern Ireland in the 1990s","Mark Hart  (Professor of Small Busines in the Small Business Research Centre (SBRC), Kingston Business School, Kingston University)","Recent research has demonstrated that small firm performance in Northern Ireland has benefited from the availability of a comprehensive and well‐funded programme of selective financial assistance provided by the Local Enterprise Development Unit (LEDU), the small business agency for the region. Such assistance to small firms was seen to overcome many of the constraints of doing business in a peripheral location such as Northern Ireland. However, one question remains unanswered by that research and that is the precise way in which LEDU financial assistance impacts upon business performance. One interpretation of the research to date could be that the relatively better performance of LEDU‐assisted small firms is due to the fact that they are more likely to be faster growing businesses in the first instance, because either they are self‐selecting in presenting themselves for LEDU assistance or else the LEDU engages in a “creaming” process, which results in the granting of assistance to the more successful firms in Northern Ireland. In order to probe further into the impact of LEDU assistance, it is necessary to examine the differential impact on growth of the wide range of support programmes and initiatives for small firms operated by the small business agency in Northern Ireland. This paper will report the results of the first stage of such an analysis by analysing the business performance of two broad groups of LEDU‐assisted clients who have received different levels of assistance in the 1990s – “Growth” and “Established” clients. The analysis is based on information drawn from a specially created database of approximately 1,600 small firms who were in receipt of LEDU financial assistance in the period 1991‐97. The analysis of the employment and turnover performance of LEDU‐assisted firms revealed that Growth clients grew faster than Established clients in the 1991‐97 period and provides tentative evidence that a more intense and directed package of assistance is clearly associated with faster business growth. The age of Growth firms was much older than Established LEDU clients and, therefore, this differential growth performance cannot be related to a simple life‐cycle explanation. The shift in LEDU policy in the 1990s towards a greater concentration of effort on firms with growth potential would appear to have been successful.","Northern Ireland, Small firms, Policy, Growth","MCB UP Ltd","Published: 2000, Start page: 7"
