web-scraper-order,web-scraper-start-url,bag,bag-href,metin,tarih
"1549455607-947","http://www.milliyet.com.tr/haberler/ibm?PAGE=25","6 Ayda servet kazandı!","http://www.milliyet.com.tr/6-ayda-servet-kazandi--sektorel-1212003/","null","null"
"1549463590-1011","http://www.milliyet.com.tr/haberler/ibm?PAGE=21","Özgür Yazılım Günleri Başlıyor","http://www.milliyet.com.tr/ozgur-yazilim-gunleri-basliyor-teknoloji-1364121/","null","null"
"1549463650-1023","http://www.milliyet.com.tr/haberler/ibm?PAGE=21","Yıldırım’dan sinyal geldi internet yasakları kalkar","http://www.milliyet.com.tr/yildirim-dan-sinyal-geldi-internet-yasaklari-kalkar-ekonomi-1395311/","Türkiye Bilişim Vakfı Başkanı Faruk Eczacıbaşı, internete yönelik yasakları ve 22 Ağustos’ta uygulanmaya başlanması beklenen filtre sistemiyle ilgili açıklamalarda bulundu.
İnternet yasakların fikri haklardan yaratıcılığa kadar birçok alanda etkisinin görülebileceğini söyleyen Eczacıbaşı, “Bunu bir zincir gibi düşünmek gerekiyor. Fikri haklar zincirin bir halkası. Zincirin sağlamlığı ise hukuksal açıdan korunmasıyla mümkün. Samimi olarak internet yasaklarının durdurulacağına inanıyorum. Binali Yıldırım bunun ilk sinyallerini verdi. Amacını aşan bir yönetmelik” dedi.
BTK Başkanı Tayfun Acarer’in eski bir bürokrat olmasına karşın böyle bir yanlışı nasıl yaptığına anlam veremediğini anlatan Eczacıbaşı, “Bir takım şeylerin kredilerini vermek lazım. Mesela Youtube kapatıldı. İstenseydi Facebook da aynı yolla kapatılabilirdi. Ve yine bu kişiler tarafından kapatılmadı. Çünkü Türkiye birbirine girerdi. Bu durumu taşıyabilirler miydi, bilemiyorum” dedi.
4 farklı filtreye ilişkin olarak da Eczacıbaşı, bunun gerçekleşmesini beklemediğini ifade etti. Eczacıbaşı, “Birey olarak yasak neden var bunu bilmem lazım. Devlet ‘Sana güveniyorum, eğer yanlış yaparsan kurallara uymazsan o zaman para cezası, hapis cezası veririm’ diyebilmeli” dedi.

Kuğu yerine devekuşu
2007’de kanun hazırlanırken kendilerinin görüş istense de dikkate alınmadığını belirten Eczacıbaşı, “Kuğu beklenirken yerine devekuşu çıktı” dedi. Yeni bir taslak hazırlayarak 2010 sonunda sunduklarını da dile getiren Eczacıbaşı şu bilgileri verdi:
“Vakıf olarak BTK Başkanı’na ‘seçim öncesi sathı mahaline girmeden bu yasayı çıkarın. Seçim öncesi başınız ağrır’ diye uyardık. Çıkaramadılar. Önerdiğimiz konuların başında yapılacakların kanuna göre yapılması, keyfiyete bırakılmaması geliyordu. Regüle edilmemesini ancak denetim yapılmasını da önerdik. İlkinde bizi dikkate almadılar. Şimdi alırlar diye düşünüyorum. Çünkü şimdi her şeyden önce kamuoyu duyarlılığı var. Dışarıda da tepkiler var.”
İnternet yasakları başta olmak üzere tüm konularda vakfın çözüm önerileri getirmek üzerine odaklandığını dile getiren Eczacıbaşı, “Şikâyet yerine öneri getirmeliyiz. Düşüncelerimiz doğru ve bunu anlatabilecek güçteyiz. Biz bunu hukuki, sosyal ve vizyon olarak ortaya koyarız orada da dinlemezlerse de yapacak bir şey kalmaz” değerlendirmesini yaptı.","27.05.2011                    02:30                      | Son Güncelleme:27.05.2011-1:19"
"1549446623-872","http://www.milliyet.com.tr/haberler/ibm?PAGE=29","IBM  elektronik beyin  yapacak","http://www.milliyet.com.tr/ibm--elektronik-beyin--yapacak-sektorel-1020237/","null","null"
"1549488566-1343","http://www.milliyet.com.tr/haberler/ibm?PAGE=5","Sürücüsüz otomobiller için bir adım daha!","http://www.milliyet.com.tr/surucusuz-otomobiller-icin-bir-otomobil-2459534/","IBM, patentlerine makine öğrenimi sistemine ilişkin bir yenisini ekledi. Yeni patent ile kazanılan yetiler, acil bir durumda otonom bir aracın kontrolünün insan sürücüye ya da araç kontrol işlemcisine dinamik bir biçimde devredilmesine olanak sağlıyor. Böylece kazaların önlenmesine katkıda bulunabilecek bir güvenlik önlemi sunuluyor. IBM, bu buluş ile ""9.566.986 numaralı ABD patenti: Sürücüsüz otomobillerin sürüş modlarının kontrolü"" başlıklı patente sahip oldu.","30.05.2017                    10:50                      | Son Güncelleme:30.05.2017-10:52"
"1549478960-1240","http://www.milliyet.com.tr/haberler/ibm?PAGE=10","Samsung ve IBM İş Birliği","http://www.milliyet.com.tr/samsung-ve-ibm-is-birligi-teknoloji-2295349/","null","null"
"1549465119-1120","http://www.milliyet.com.tr/haberler/ibm?PAGE=16","Apple yine zirvede","http://www.milliyet.com.tr/apple-yine-zirvede-ekonomi-1670819/","Geçen yıl da dünyanın en değerli markası olan Apple, bu yıl marka değerini yaklaşık 17 milyar dolar artırarak, listede yine ilk sırada yer aldı.

AA muhabirinin, söz konusu çalışmadan derlediği bilgilere göre, geçen yıl 70,6 milyar dolarlık marka değerine sahip olan ve bu değeri 2013’te 87,3 milyar dolara yükselten Apple, böylece iki yıl üst üste dünyanın en değerli markası olma başarısını gösterdi.

Geçen yılki listede 38 milyar dolarlık marka değeriyle 6. sırada yer alan Güney Koreli Samsung, bu yıl önemli bir yükseliş göstererek 59 milyar dolara yakın marka değeri ile ikinci sırayı aldı. Samsung’u ise geçen yılın ikincisi Google takip etti.

Geçen yıl 47,5 milyar dolarlık marka değerine sahip olan Google, bu yıl değerini yaklaşık 5 milyar dolar artırsa da listede yine de bir basamak düşmekten kurtulamadı.

Türk markaları listeye giremedi","19.02.2013                    15:08                      | Son Güncelleme:19.02.2013-15:14"
"1549493611-1381","http://www.milliyet.com.tr/haberler/ibm?PAGE=2","Yapay zekada rekabet kızışıyor","http://www.milliyet.com.tr/yapay-zekada-rekabet-kizisiyor-teknoloji-haber-2599777/","null","null"
"1549454632-939","http://www.milliyet.com.tr/haberler/ibm?PAGE=25","Suni beyin 2018 de..","http://www.milliyet.com.tr/suni-beyin-2018-de---magazin-1191739/","null","06 Şubat 2019, Çarşamba"
"1549463621-1016","http://www.milliyet.com.tr/haberler/ibm?PAGE=21","Apple ı utandıracak haber!","http://www.milliyet.com.tr/apple-i-utandiracak-haber--sektorel-1382562/","null","null"
"1549465300-1123","http://www.milliyet.com.tr/haberler/ibm?PAGE=16","Michelin’in Güvenli Filo Ödülü Abbott’un oldu","http://www.milliyet.com.tr/michelin-in-guvenli-filo-odulu-abbott-un-oldu-otoguncel-1684955/","Michelin’in Güvenli Filo Ödülü’nü Abbott, Ekonomist’in Yılın Filo Yöneticisi Ödülü’nü Coca-Cola İçecek, Peugeot’nun Yeşil Filo Ödülü’nü TNT Express, LeasePlan’ın KOBİ Filo Yöneticisi Ödülü’nü ise Kalpakçıoğlu Gıda aldı.
 
Filo yönetiminin, şirketlerin performansı ve ülke ekonomisine katkısına dikkat çekmek, çevre ve trafik güvenliği bilincinin oluşmasına destek olmak, kaynakların verimli kullanımını teşvik etmek ve ödüllendirmek gibi konulara dikkat çekmeyi ve motivasyon sağlamayı amaçlayan “Yılın Filo Yöneticisi Ödülleri”nin 2012 yılı ödülleri sahiplerini buldu.","25.03.2013  -              14:38 | Son Güncelleme:  25.03.2013-14:44"
"1549522286-1415","http://www.milliyet.com.tr/haberler/ibm?PAGE=1","Son 150 yılda bulunan ve hayatımızı değiştiren buluşlar","http://www.milliyet.com.tr/son-150-yilda-bulunan-ve-teknoloji-galeri-haber-2782432/","null","null"
"1549462208-1001","http://www.milliyet.com.tr/haberler/ibm?PAGE=22","Devrim yaratan işlemciler!","http://www.milliyet.com.tr/devrim-yaratan-islemciler--yeniurunler-1340761/","null","null"
"1549437896-800","http://www.milliyet.com.tr/haberler/ibm?PAGE=33","Filmleri internetten izleyin","http://www.milliyet.com.tr/filmleri-internetten-izleyin-internet-884634/","null","null"
"1549475210-1208","http://www.milliyet.com.tr/haberler/ibm?PAGE=11","LC Waikiki, Platin Bilişimi tercih etti","http://www.milliyet.com.tr/lc-waikiki-platin-bilisim-ile-teknoloji-2091440/","null","null"
"1549461408-994","http://www.milliyet.com.tr/haberler/ibm?PAGE=22","Güler Sabancı gençlere seslendi","http://www.milliyet.com.tr/guler-sabanci-genclere-seslendi-ekonomi-1319302/","Sabancı Holding Yönetim Kurulu Başkanı Güler Sabancı, Sakıp Sabancı’nın çok güçlü bir lider olduğunu belirterek, ""Gücü de patronluğundan gelmezdi. Sakıp Sabancı’nın gücü, kendine, ekip arkadaşlarına, çevresindekilere ve Türk halkına olan inancından gelirdi"" görüşünü bildirdi.

Sabancı Holdingden yapılan yazılı açıklamaya göre, Güler Sabancı’nın Young Guru Academy (YGA) tarafından düzenlenen 2010 Liderlik Zirvesi’nde, ""Sosyal Sorumlu Lider"" başlıklı konuşmasıyla gençlere seslendi.

Sabancı, şirketler için, toplumlar için, devletler için liderliğin önem taşıdığını, dünyada liderliğin de değiştiğini ve geliştiğini kaydetti.

Dünyada liderlik krizi yaşandığını ve gelişmiş ülkelerde işgücünün giderek yaşlanması sonucu yaşanan yetenek savaşlarının liderlik konusunu etkilediğini belirten Sabancı, IBM’in bir araştırmasına göre, şirketlerin lider yetiştirmekte zorlandığına, lider bulma konusunda daha fazla endişe taşıdığına ve araştırmada liderlik konusundaki bu sıkıntının ""küresel bir işgücü krizinin"" başlangıcı olabileceğinden bahsedildiğine değinerek, şöyle devam etti: ""Bu doğrultuda yaşanacak bir liderlik krizinin, tüm şirketlerin sorunu olma ihtimali bulunuyor. Ancak gerçekçi bir yaklaşım ve uzun vadeli bir bakışla, şirketlerin kendi içlerinden yetenekli liderleri yetiştirip geliştirmeleri ile çözümlenebilir. Karşıda bir dağ görünce, takımlarına, ’şu karşıdaki dağa tırmanın’ diye talimat vermek, tek başına hedef göstermek liderlik değildir.

Liderlik, o dağı aşmanın önemini takımlarına anlatmak, onları ikna etmek ve onları başarılı kılmaktır. Sonunda dağa tırmanan takımlardır. Ama o dağa tırmanmak için rehberlik eden, destek ve güç veren liderlerdir. Bill Gates’in de dediği gibi; Gelecek yüzyılın liderleri, çalışanlarına, takım arkadaşlarına güç verenlerden çıkacaktır."" İdeal liderin özelliklerinden bahseden Sabancı, liderin her zaman çözüme odaklandığını, liderliğin en ayrıştırıcı vasıflarından birinin, önyargısız ve pozitif yaklaşımı olduğunu kaydetti.

Sabancı, ancak cesur bir liderin takım arkadaşlarını cesaretlendirebileceğini ve bu cesaretle fark yaratabileceğini belirtip, örnek lider olarak Sakıp Sabancı’yı göstererek, şunları kaydetti: ""Ben Sakıp Sabancı ile büyüdüm. Sakıp Sabancı çok güçlü bir liderdi.

Gücü de patronluğundan gelmezdi. Sakıp Sabancı’nın gücü, kendine, ekip arkadaşlarına, çevresindekilere ve Türk halkına olan inancından gelirdi. Başarıya akılla, planla ve çok çalışılarak ulaşılabileceğine olan inancından gelirdi.

Sakıp Bey her zaman çözümden yana olan ve pozitif duygular taşıyan bir liderdi.

Cesurdu ve değişimden korkmazdı. Çok fikir alan, çok iyi dinleyen, çok çabuk empati kuran, hedefi iyi anlatan, hep beraber, el ele iş yapmayı tercih eden bir kişiydi. Heyecanlı ve heyecanını karşısındakine aşılayan bir yöneticiydi ve bu vasıflarıyla yarattığı güvenle, 38 sene Sabancı Topluluğu ve Sabancı Ailesinin liderliğini yaptı. Sakıp Sabancı’nın 25-30 yıl önce ortaya koyduğu liderlik modeli, bugün çağdaş teorilerde de kendisini gösteriyor. Artık, lider dediğimizde aklımıza yüksek duygusal zekaya sahip, insanlara ilham veren ve motive eden bireyler geliyor. Takım üyeleri ile uyumlu çalışan ve onların arasındaki uyumun da öncülüğünü yapabilenler geliyor. Bu uyumdan güç alarak hem kendi hem de takım arkadaşlarının performanslarını yükseltmeyi başarabilen insanlar geliyor aklımıza. Çünkü çalışmalar bize gösteriyor ki, takım üyeleri, bir işin planlama sürecinde ne kadar rol alırlarsa, daha sonra o planlanan hedefe ulaşmak için çok daha yoğun ve içten çalışıyorlar.""","27.11.2010                    15:16                      | Son Güncelleme:27.11.2010-15:16"
"1549462446-1003","http://www.milliyet.com.tr/haberler/ibm?PAGE=22","IBM 5,3 milyar dolar kar etti","http://www.milliyet.com.tr/ibm-5-3-milyar-dolar-kar-etti-ekonomi-1341412/","ABD’li bilgisayar şirketi IBM geçen yıl dördüncü çeyrekte 5,3 milyar dolar kar etti.

IBM, geçen yıl son çeyrekte karının önceki yıl aynı döneme göre yüzde 9 artarak 5,3 milyar dolara (hisse başına 4,18 dolar) çıktığını açıkladı. Şirketin 2009 yılı son çeyreğinde hisse başına 3,59 dolar olan karının, geçen yıl aynı çeyrekte 4,08 dolar olması bekleniyordu.

Şirketin, geçen yıl dördüncü çeyrekte gelirleri ise 2009 yılının aynı çeyreğine göre yüzde 7 yükselerek, 29 milyar doları buldu. IBM’in 2009 yılının son çeyreğinde gelirleri 27,2 milyar dolar olmuştu.","19.01.2011                    14:53                      | Son Güncelleme:19.01.2011-14:54"
"1549489544-1350","http://www.milliyet.com.tr/haberler/ibm?PAGE=4","Saü de Yapay Zeka Yaz Okulu","http://www.milliyet.com.tr/sau-de-yapay-zeka-yaz-okulu-sakarya-yerelhaber-2204869/","IHA","04 Ağustos 2017 - 13:08"
"1549464579-1111","http://www.milliyet.com.tr/haberler/ibm?PAGE=16","Silikon yerine karbon çip","http://www.milliyet.com.tr/silikon-yerine-karbon-cip-gundem-1619500/","Bilgisayar teknolojisinin belkemiği olarak adlandırılan silikonun yerine kullanılacak olan çiplerin, üretilen ilk örneğinin 10 bin adet iletken içerdiği açıklandı. Uzmanlar ise karbonçiplerin, bilgisayarların daha hızlı olmasını sağlayacağını düşünüyor.","31.10.2012                    02:30                      | Son Güncelleme:30.10.2012-22:17"
"1549487187-1331","http://www.milliyet.com.tr/haberler/ibm?PAGE=5","Uludağ Ekonomi Zirvesi","http://www.milliyet.com.tr/uludag-ekonomi-zirvesi-bursa-yerelhaber-1932421/","","25 Mart 2017 - 11:35"
